(((1,2,3),3,2),4,1)				
N	1	9220	1000	93319
N	2	76268	10210	251189
N	3	6584	1123	39372
N	4	4423	1394	14150
N	T1	27234	1975	251189
N	T2	18490	1481	224880
N	0	10543	1234	71162
T	1	450837	41243	2000000
T	2	352128	34298	2000000
T	3	278535	30990	2000000
M	  1-2	0.85	0.04	10
M	 1-3	0.06	0.01	0.74
M	 1-4	0.03	0.01	0.21
M	 2-3	0.17	0.01	2.37
M	 2-4	0.04	0.01	0.32
M	 3-4	0.09	0.02	0.4
M	1,2-3	0.23	0.01	5.83
M	1,2-4	0.12	0.01	4.07
M	1,2,3-4	0.31	0.01	7.18
