((1,2,3),(3,4,2),1)				
N	1	10528 	1069 	104814 
N	2	72001 	9986 	251189 
N	3	6033 	1022 	38511 
N	4	5710 	1283 	24739 
N	T1	30241 	2041 	251189 
N	T2	16275 	1200 	188395 
N	0	9240 	1319 	52786 
T	1	358517 	36416 	2000000 
T	2	309557 	32452 	2000000 
T	3	301655 	31567 	2000000 
M	  1-2	0.77	0.03	10.00
M	 1-3	0.08	0.01	1.06
M	 1-4	0.03	0.01	0.21
M	 2-3	0.19	0.01	2.76
M	 2-4	0.05	0.01	0.36
M	 3-4	0.06	0.01	0.26
M	1,2-3	0.25	0.01	5.95
M	1,2-4	0.12	0.01	3.72
M	1,2-3,4	0.29	0.01	7.74
